,Model,average MSE of 10 folds,Time,n_estimators,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,RandomForestRegressor,0.09331725489502186,306.05095052719116,100,BIL_return_Adj Close,EEM_return_Adj Close,GLD_return_Adj Close,GSG_return_Adj Close,IEI_return_Adj Close,LQD_return_Adj Close,SPHY_return_Adj Close,UUP_return_Adj Close,VNQ_return_Adj Close,VWO_return_Adj Close,XLB_return_Adj Close,XLE_return_Adj Close,XLF_return_Adj Close,XLI_return_Adj Close,XLK_return_Adj Close,XLP_return_Adj Close,XLU_return_Adj Close,XLV_return_Adj Close,XLY_return_Adj Close,XTL_return_Adj Close,Day 1,Day 2,Day 3,Day 4,Day 5,,,,,,,,,,
1,RandomForestRegressor,0.14836487676653937,223.7632439136505,200,BIL_return_Adj Close,EEM_return_Adj Close,GLD_return_Adj Close,GSG_return_Adj Close,IEI_return_Adj Close,LQD_return_Adj Close,SPHY_return_Adj Close,UUP_return_Adj Close,VNQ_return_Adj Close,VWO_return_Adj Close,XLB_return_Adj Close,XLE_return_Adj Close,XLF_return_Adj Close,XLI_return_Adj Close,XLK_return_Adj Close,XLP_return_Adj Close,XLU_return_Adj Close,XLV_return_Adj Close,XLY_return_Adj Close,XTL_return_Adj Close,Day 2- Day 1,Day 3- Day 2,Day 4- Day 3,Day 5- Day 4,,,,,,,,,,,
